title,desc,date,datetime,link,img,media,site,log_date,subject
Pescavore: A Journey from Aerospace Engineering to Sustainable ...,,3 days ago,2023-10-19 20:24:13.763199,news.google.com/./articles/CBMiIWh0dHBzOi8vc2hvcHBlYmxhY2sudXMvcGVzY2F2b3JlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://shoppeblack.us&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Shoppe Black,,1698017050.871637,aerospace
Collins Aerospace Enters Licensing Agreement To Manufacture ...,,3 days ago,2023-10-19 20:24:13.759196,news.google.com/./articles/CBMid2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvY29sbGlucy1hZXJvc3BhY2UtZW50ZXJzLWxpY2Vuc2luZy1hZ3JlZW1lbnQtdG8tbWFudWZhY3R1cmUtYWlyYm9ybmUtdGFjdGljYWwtcmFkaW9zLWlu0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/obUo_H0W5xK1zxQROoKjSILqoGF8_hB6luclCgcakg3Ar6w8bDlZxsX-wcgP0MowaQVShVUibg=s0-h14-rp,Nasdaq,,1698017050.871637,aerospace
Spotlight on Henkel's ERGs: The Aerospace Cultural Alliance,,3 days ago,2023-10-19 20:24:13.758197,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4NjIyNi1zcG90bGlnaHQtaGVua2Vscy1lcmdzLWFlcm9zcGFjZS1jdWx0dXJhbC1hbGxpYW5jZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/iExVy2U_0b6Pb4KwbmWaXKZnAswoGinggJbGEBJiNf6dtxwgGBWLtKPY1nGq8frf4lZodjgXGLI=s0-h14-rp,CSRwire.com,,1698017050.871637,aerospace
Keybanc Maintains Howmet Aerospace (HWM) Overweight ...,,3 days ago,2023-10-19 20:24:13.756195,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMva2V5YmFuYy1tYWludGFpbnMtaG93bWV0LWFlcm9zcGFjZS1od20tb3ZlcndlaWdodC1yZWNvbW1lbmRhdGlvbi0w0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/obUo_H0W5xK1zxQROoKjSILqoGF8_hB6luclCgcakg3Ar6w8bDlZxsX-wcgP0MowaQVShVUibg=s0-h14-rp,Nasdaq,,1698017050.871637,aerospace
DLR improves the prediction of flight characteristics for future aircraft,,4 days ago,2023-10-18 20:24:13.766196,news.google.com/./articles/CBMikQFodHRwczovL3d3dy5taWxpdGFyeWFlcm9zcGFjZS5jb20vY29tbWVyY2lhbC1hZXJvc3BhY2UvYXJ0aWNsZS8xNDMwMDMzNy9kbHItaW1wcm92ZXMtdGhlLXByZWRpY3Rpb24tb2YtZmxpZ2h0LWNoYXJhY3RlcmlzdGljcy1mb3ItZnV0dXJlLWFpcmNyYWZ00gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/thtY-JNjoq24aGDuwCsf-fQwWAOS0hK8z5y5fVFeZFcJZJCVLXQH1_RoOsTmcpnsQJqDKGNGrA=s0-h14-rp,Military & Aerospace Electronics,,1698017050.871637,aerospace
Atlas Copco launches battery drill in support of aerospace ...,,4 days ago,2023-10-18 20:24:13.766196,news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmFlcm8tbWFnLmNvbS9hdGxhcy1jb3Bjby1sYXVuY2hlcy1iYXR0ZXJ5LWRyaWxsLWluLXN1cHBvcnQtb2YtYWVyb3NwYWNlLW1hbnVmYWN0dXJpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Kr1SwIOTFYnnPYd6k3g2E1DBVrkuzOSq7iZywSeMk8htgFqJ-Ez987LlqFmErhgiYAWvJ_CqeqY=s0-h14-rp,Aerospace Manufacturing,,1698017050.871637,aerospace
"Foundation Day 2023 honours visionaries in healthcare, history, and ...",,4 days ago,2023-10-18 20:24:13.766196,news.google.com/./articles/CBMid2h0dHBzOi8vd3d3Lm1hbmNoZXN0ZXIuYWMudWsvZGlzY292ZXIvbmV3cy9mb3VuZGF0aW9uLWRheS0yMDIzLWhvbm91cnMtdmlzaW9uYXJpZXMtaW4taGVhbHRoY2FyZS1oaXN0b3J5LWFuZC1hZXJvc3BhY2Uv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.manchester.ac.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The University of Manchester,,1698017050.871637,aerospace
Aerospace firms push to extend pause on federal regulations,,4 days ago,2023-10-18 20:24:13.765204,news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmNvdXJ0aG91c2VuZXdzLmNvbS9hZXJvc3BhY2UtZmlybXMtcHVzaC10by1leHRlbmQtcGF1c2Utb24tZmVkZXJhbC1yZWd1bGF0aW9ucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/KdTz-nilXfv6QLxqlK6I2V0h6bVoIhVJhXBzz1XGBCzSHadTbLFZhTykCVQgcMbyeOcNgKqIQw=s0-h14-rp,Courthouse News Service,,1698017050.871637,aerospace
Sterling launches shipping service geared toward aerospace industry,,4 days ago,2023-10-18 20:24:13.763199,news.google.com/./articles/CBMic2h0dHBzOi8vdHJhbnNwb3J0YXRpb250b2RheW5ld3MuY29tL25ld3MvMzE0OTgtc3RlcmxpbmctbGF1bmNoZXMtc2hpcHBpbmctc2VydmljZS1nZWFyZWQtdG93YXJkLWFlcm9zcGFjZS1pbmR1c3RyeS_SAXNodHRwczovL3RyYW5zcG9ydGF0aW9udG9kYXluZXdzLmNvbS9uZXdzLzMxNDk4LXN0ZXJsaW5nLWxhdW5jaGVzLXNoaXBwaW5nLXNlcnZpY2UtZ2VhcmVkLXRvd2FyZC1hZXJvc3BhY2UtaW5kdXN0cnkv?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://transportationtodaynews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Transportation Today,,1698017050.871637,aerospace
Bridger Aerospace Shares Plummet 30% on Public Offering of $70M in Common Stock,,4 days ago,2023-10-18 20:24:13.760199,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9icmlkZ2VyLWFlcm9zcGFjZS1zaGFyZXMtcGx1bW1ldC0zMC1vbi1wdWJsaWMtb2ZmZXJpbmctb2YtNzBtLWluLWNvbW1vbi1zdG9jay02YTJiNGNmMtIBfGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvYnJpZGdlci1hZXJvc3BhY2Utc2hhcmVzLXBsdW1tZXQtMzAtb24tcHVibGljLW9mZmVyaW5nLW9mLTcwbS1pbi1jb21tb24tc3RvY2stNmEyYjRjZjI?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/e3C-RTkUb0bknSDp54jrHU5WhmbMFt7PMIWDT4B-2XaK0xwo64ed8bQ64bSxfteh-skLrkffJQ=s0-h14-rp,MarketWatch,,1698017050.871637,aerospace
